departamento,cargo,id_estructura,grupo_ocupacional
CENTRO DE CAPACITACION CGR,ASESOR ACADEMICO,1,OPERATIVO
CENTRO DE CAPACITACION CGR,COORDINADOR ACADEMICO,2,PROFESIONAL
CONSULTORIA JURIDICA,DIGITADOR(A),3,OPERATIVO
CONSULTORIA JURIDICA,AUXILIAR ADMINISTRATIVO(A),4,TECNICO
CONSULTORIA JURIDICA,ENCARGADO DIVISION,5,ESTRATEGICO
CONSULTORIA JURIDICA,ABOGADO (A) II,6,PROFESIONAL
CONSULTORIA JURIDICA,AUDITOR LEGAL,7,PROFESIONAL
CONSULTORIA JURIDICA,CONSULTOR JURIDICO,8,OPERATIVO
CONSULTORIA JURIDICA,ANALISTA CONTROL DE CALIDAD,9,PROFESIONAL
CONSULTORIA JURIDICA,ANALISTA LEGAL - FINANCIERO,10,PROFESIONAL
CONSULTORIA JURIDICA,AUXILIAR LEGAL,11,TECNICO
CONSULTORIA JURIDICA,SUPERVISOR (A),12,PROFESIONAL
CONTRALORIA GENERAL DE LA REPUBLICA,ASESOR JURIDICO,13,OPERATIVO
DEPARTAMENTO DE AUDITORIA LEGAL,AUDITOR LEGAL I,14,PROFESIONAL
DEPARTAMENTO DE AUDITORIA LEGAL,AUDITOR LEGAL,15,PROFESIONAL
DEPARTAMENTO DE AUDITORIA LEGAL,ANALISTA FINANCIEROLEGAL,16,PROFESIONAL
DEPARTAMENTO DE AUDITORIAS TECNICAS,AUDITOR TECNICO,17,PROFESIONAL
DEPARTAMENTO DE AUDITORIAS TECNICAS,SUPERVISOR (A),18,PROFESIONAL
DEPARTAMENTO DE AUDITORIAS TECNICAS,ENCARGADO DE DIVISION,19,ESTRATEGICO
DEPARTAMENTO DE AUDITORIAS TECNICAS,AUDITOR INGENIERIA Y ARQUITEC,20,PROFESIONAL
DEPARTAMENTO DE AUDITORIAS TECNICAS,SUB-ENCARGADO (A),21,ESTRATEGICO
DEPARTAMENTO DE AUDITORIAS TECNICAS,SECRETARIA,22,OPERATIVO
DEPARTAMENTO DE AUDITORIAS TECNICAS,AUXILIAR INGENIERIA,23,TECNICO
DEPARTAMENTO DE AUDITORIAS TECNICAS,AUXILIAR AUDITORIA,24,PROFESIONAL
DEPARTAMENTO DE AYUNTAMIENTOS,AUXILIAR ADMINISTRATIVO(A),25,TECNICO
DEPARTAMENTO DE AYUNTAMIENTOS,AUDITOR I,26,PROFESIONAL
DEPARTAMENTO DE AYUNTAMIENTOS,COORDINADOR (A),27,PROFESIONAL
DEPARTAMENTO DE AYUNTAMIENTOS,AUDITOR III,28,PROFESIONAL
DEPARTAMENTO DE AYUNTAMIENTOS,DIGITADOR,29,OPERATIVO
DEPARTAMENTO DE AYUNTAMIENTOS,ANALISTA,30,PROFESIONAL
DEPARTAMENTO DE AYUNTAMIENTOS,SECRETARIA EJECUTIVA,31,OPERATIVO
DEPARTAMENTO DE AYUNTAMIENTOS,AUDITOR II,32,PROFESIONAL
DEPARTAMENTO DE AYUNTAMIENTOS,ENCARGADO (A),33,ESTRATEGICO
DEPARTAMENTO DE AYUNTAMIENTOS,DIRECTOR (A)ACADEMICO,34,ESTRATEGICO
DEPARTAMENTO DE AYUNTAMIENTOS,AUXILIAR ADMINISTRATIVO,35,TECNICO
DEPARTAMENTO DE AYUNTAMIENTOS,ANALISTA II,36,PROFESIONAL
DEPARTAMENTO DE AYUNTAMIENTOS,SUPERVISOR (A),37,PROFESIONAL
DEPARTAMENTO DE COMUNICACIONES,DISEÑADOR GRAFICO,38,OPERATIVO
DEPARTAMENTO DE COMUNICACIONES,ASESOR,39,OPERATIVO
DEPARTAMENTO DE COMUNICACIONES,SECRETARIA EJECUTIVA,40,OPERATIVO
DEPARTAMENTO DE DESARROLLO NORMATIV,ANALISTA III,41,PROFESIONAL
DEPARTAMENTO DE DESARROLLO NORMATIV,ANALISTA I,42,PROFESIONAL
DEPARTAMENTO DE DESARROLLO NORMATIV,SUB ENCARGADO DESARROLLO NORMATIVO,43,ESTRATEGICO
DEPARTAMENTO DE PLANIFICACION Y DESARROLLO,ENCARGADO (A)DEPTO. FORMULAC,44,ESTRATEGICO
DEPARTAMENTO DE PLANIFICACION Y DESARROLLO,AUXILIAR ADMINISTRATIVO,45,TECNICO
DEPARTAMENTO DE PLANIFICACION Y DESARROLLO,ENCARGADO (A)PLANIFICACION Y DESARROLLO,46,ESTRATEGICO
DEPARTAMENTO DE PLANIFICACION Y DESARROLLO,ANALISTA,47,PROFESIONAL
DEPARTAMENTO DE PLANIFICACION Y DESARROLLO,SECRETARIA EJECUTIVA,48,OPERATIVO
DEPARTAMENTO DE PLANIFICACION Y DESARROLLO,ANALISTA III,49,PROFESIONAL
DEPARTAMENTO DE PLANIFICACION Y DESARROLLO,ANALISTA DE OPERACIONES,50,PROFESIONAL
DEPARTAMENTO DE PLANIFICACION Y DESARROLLO,AUXILIAR ADMINISTRATIVO(A),51,TECNICO
DEPARTAMENTO DE PLANIFICACION Y DESARROLLO,ENC. DIV. DESARROLLO INSTITUC,52,OPERATIVO
DEPARTAMENTO LEGAL (SEDE),AUDITOR LEGAL,53,PROFESIONAL
DEPARTAMENTO LEGAL (SEDE),MENSAJERO,54,OPERATIVO
DEPARTAMENTO LEGAL (SEDE),SUPERVISORA,55,PROFESIONAL
"DEPTO DE SERVICIOS PERSONALES, CIIVLES Y MILITARES",ANALISTA III,56,PROFESIONAL
"DEPTO DE SERVICIOS PERSONALES, CIIVLES Y MILITARES",ANALISTA I,57,PROFESIONAL
"DEPTO DE SERVICIOS PERSONALES, CIIVLES Y MILITARES",ANALISTA II,58,PROFESIONAL
"DEPTO DE SERVICIOS PERSONALES, CIIVLES Y MILITARES",ABOGADO I,59,PROFESIONAL
"DEPTO DE SERVICIOS PERSONALES, CIIVLES Y MILITARES",ANALISTA,60,PROFESIONAL
